Neurônios,Taxa de Aprendizado,F1-Score
10,0.1,0.8895085582246441
10,0.1,0.8882179920105818
10,0.1,0.8919809534552077
10,0.1,0.893462877113372
10,0.1,0.8952648279902622
10,0.1,0.903362740155052
10,0.1,0.8902993948861638
10,0.1,0.8943040263702888
10,0.1,0.8940110334320363
10,0.1,0.8787895847508954
10,0.05,0.8954730121629225
10,0.05,0.8848559126754616
10,0.05,0.8880436403787033
10,0.05,0.8900484640722872
10,0.05,0.8910752567765055
10,0.05,0.8918120936832679
10,0.05,0.8955062280620011
10,0.05,0.8845323599827308
10,0.05,0.8906753290989331
10,0.05,0.8872039098996684
10,0.01,0.8511587301587301
10,0.01,0.85614018732731
10,0.01,0.8559589848301619
10,0.01,0.8559763990136044
10,0.01,0.8520717382598285
10,0.01,0.8510968401724703
10,0.01,0.8527357872945176
10,0.01,0.8514148573618231
10,0.01,0.8536872759827407
10,0.01,0.8417292388637112
32,0.1,0.895303668529475
32,0.1,0.8946454181660568
32,0.1,0.8944233752661193
32,0.1,0.8991577907551062
32,0.1,0.9056633842468527
32,0.1,0.893970397663311
32,0.1,0.8909211552337831
32,0.1,0.9023559501542252
32,0.1,0.8907169908762265
32,0.1,0.8890531357223995
32,0.05,0.8995953026154367
32,0.05,0.896687299033547
32,0.05,0.8868206405311124
32,0.05,0.9001290438841634
32,0.05,0.8962604629946401
32,0.05,0.8855659130725035
32,0.05,0.8950408571764983
32,0.05,0.9026475070183679
32,0.05,0.8809657795293468
32,0.05,0.8876288258965594
32,0.01,0.857215723814327
32,0.01,0.8552337333815168
32,0.01,0.8630496382027022
32,0.01,0.8567449125546386
32,0.01,0.861058926882011
32,0.01,0.8605814223512909
32,0.01,0.8573388686129613
32,0.01,0.8638322188969416
32,0.01,0.8574829548112722
32,0.01,0.8635697130879454
64,0.1,0.8893979921272624
64,0.1,0.897237167471577
64,0.1,0.9011168949753076
64,0.1,0.8954888029280694
64,0.1,0.8912745624471373
64,0.1,0.899856995679774
64,0.1,0.8946650844483661
64,0.1,0.8962349714945516
64,0.1,0.8889828126491597
64,0.1,0.8866302265275323
64,0.05,0.8871906106706643
64,0.05,0.891376748014127
64,0.05,0.8877606569501924
64,0.05,0.8923746425998083
64,0.05,0.8924470632569548
64,0.05,0.883661805810694
64,0.05,0.8961828922790931
64,0.05,0.8918319620041475
64,0.05,0.8796389521386823
64,0.05,0.8903785748851567
64,0.01,0.8575644513267052
64,0.01,0.8606012726012725
64,0.01,0.8641431290445375
64,0.01,0.8629324223337248
64,0.01,0.8610009992311284
64,0.01,0.8636639055422378
64,0.01,0.8601049517852722
64,0.01,0.8576205425025751
64,0.01,0.8620950364567387
64,0.01,0.862741518670671
