neuronios,lr,f1,acc,prec,rec,epocas_convergencia,tempo_total
10,0.05,0.896864030339605,0.9674999999999999,0.9514129004798019,0.85,89.2,20.38372278213501
10,0.1,0.8949826141931405,0.9675,0.9652281746031747,0.835,59.4,13.568649530410767
32,0.03,0.8928045594117181,0.9662499999999999,0.9476559580770108,0.845,138.0,31.678438425064087
10,0.03,0.892311661506708,0.9662499999999999,0.9496860730593607,0.8425,109.2,26.29401993751526
64,0.1,0.8919045162349448,0.9666666666666666,0.9649135334885128,0.8300000000000001,67.8,16.12282109260559
64,0.05,0.8907254232541788,0.9658333333333333,0.9494937093320155,0.8399999999999999,97.0,23.035611867904663
32,0.1,0.8903368561263297,0.9654166666666667,0.9400827519248571,0.8474999999999999,79.8,18.434165477752686
32,0.05,0.8883204472437958,0.9650000000000001,0.9460809878201182,0.8375,88.0,20.286323308944702
64,0.03,0.8855225130459585,0.9645833333333333,0.959741258720267,0.8225000000000001,102.4,24.296355962753296
